Meeting,No.,Ag. Items,Title,Submitted By,E,Attachments,Year,Meeting_Number,CEP_Number,Download_Link,Type,Extension,Has_English,Exists
ATCM 46 - CEP 26 (2024),IP181,CEP 9a,"Initiation of review of Management Plan for Antarctic Specially Protected Area (ASPA) No. 169 Amanda Bay, Ingrid Christensen Coast, Princess Elizabeth Land, East Antarctica","Australia, China",X,,2024,46,26.0,https://documents.ats.aq/ATCM46/ip/ATCM46_ip181_e.docx,IP,docx,True,Yes
ATCM 46 - CEP 26 (2024),WP001,ATCM 13,"Air Safety in Antarctica - Importance of ATCM XLIV Resolution 3 (2022) Provisions
",COMNAP,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/wp/ATCM46_wp001_e.docx,WP,docx,True,Yes
ATCM 46 - CEP 26 (2024),IP182,CEP 9a,Do we need management groups for ASPAs and handling cumulative impacts?,Uruguay,X,"Scientific paper: Soutullo et al., 2022 Managing cumulative impacts and protected areas in Antarctica: what can we learn from the rest of the world?
",2024,46,26.0,https://documents.ats.aq/ATCM46/ip/ATCM46_ip182_e.docx,IP,docx,True,Yes
ATCM 46 - CEP 26 (2024),IP184,"ATCM 16, CEP 7a",Understanding Future Sea-level Change Around Antarctica,"SCAR, COMNAP, WMO",X,,2024,46,26.0,https://documents.ats.aq/ATCM46/ip/ATCM46_ip184_e.docx,IP,docx,True,Yes
ATCM 46 - CEP 26 (2024),IP185 rev. 1,ATCM 6c,Updated United States Policy on the Antarctic Region,United States,X,"Fact Sheet
National Security Memorandum on United States Policy on the Antarctic Region
",2024,46,26.0,https://documents.ats.aq/ATCM46/ip/ATCM46_ip185_rev1_e.docx,IP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP001,ATCM 3,ATCM 46 - CEP 26 Agenda and Schedule,ATS,X,"ATCM Multi-year Strategic Work Plan 2023 – 2026
",2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp001_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP002,CEP 2,"CEP 26 Preliminary Agenda and Five-Year Work Plan (5YWP)
",ATS,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp002_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP005,ATCM 7,Secretariat Programme 2024/2025,ATS,X,"Contribution Scale for the Financial Year 2025/26
Provisional Statement for the Financial Year 2023/24, Budget for the Financial Year 2024/25, Forecast Budget for the Financial Year 2025/26
Salary Scale
",2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp005_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP006,ATCM 7,Five-Year Forward Budget Profile 2025/26 - 2029/30	,ATS,X,"Five-Year Forward Budget Profile 2025/26 - 2029/30
",2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp006_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP007,CEP 8b,Annual list of Initial Environmental Evaluations (IEE) and Comprehensive Environmental Evaluations (CEE) prepared between 1 April 2023 and 31 March 2024,ATS,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp007_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP008,"ATCM 6c, CEP 13",Review of gender-neutral language in ATCM and CEP documents,ATS,X,"ATCM Rules of Procedure reviewed for gender neutrality
CEP Rules of Procedure reviewed for gender neutrality
Decision 4 (2017) on the Procedure for Appointing ATCM Working Group Chairs reviewed for gender neutrality
General Guidelines for Visitors to the Antarctic (2021) reviewed for gender neutrality
",2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp008_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP009,ATCM 13,Summary of documents submitted to the ATCM on the modernisation of Antarctic stations from 2016 to 2023,ATS,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp009_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP010,CEP 8b,Review of how comments and responses were reflected in final CEEs (2003-2023),ATS,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp010_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP011,CEP 8b,"Summary of CEP discussions on assessing cumulative impacts  (2013 – 2023)
",ATS,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp011_e.docx,SP,docx,True,Yes
ATCM 46 - CEP 26 (2024),SP012,ATCM 7,"The Antarctic Treaty Secretariat: twenty years after its establishment 
",ATS,X,,2024,46,26.0,https://documents.ats.aq/ATCM46/sp/ATCM46_sp012_e.docx,SP,docx,True,Yes
