Year,Type,Min_Number,Max_Number,Expected_Count,Actual_Count,Missing_Count,Gap_Percentage,Missing_Numbers
1961,IP,1,20,20,20,0,0.0,[]
1961,SP,1,8,8,8,0,0.0,[]
1961,WP,1,34,34,33,1,2.941176470588235,[10]
1962,WP,1,26,26,26,0,0.0,[]
1964,SP,1,8,8,8,0,0.0,[]
1964,WP,1,58,58,58,0,0.0,[]
1966,IP,1,2,2,2,0,0.0,[]
1966,WP,1,64,64,64,0,0.0,[]
1968,WP,1,50,50,44,6,12.0,"[5, 6, 7, 23, 48, 49]"
1970,IP,1,14,14,14,0,0.0,[]
1970,SP,1,7,7,7,0,0.0,[]
1970,WP,1,31,31,31,0,0.0,[]
1972,IP,4,11,8,7,1,12.5,[6]
1972,WP,1,61,61,61,0,0.0,[]
1975,IP,4,25,22,21,1,4.545454545454546,[5]
1975,WP,1,51,51,50,1,1.9607843137254901,[7]
1977,IP,1,18,18,17,1,5.555555555555555,[10]
1977,WP,1,85,85,84,1,1.1764705882352942,[2]
1979,BP,1,7,7,7,0,0.0,[]
1979,SP,1,14,14,14,0,0.0,[]
1979,WP,1,52,52,51,1,1.9230769230769231,[45]
1981,IP,2,33,32,9,23,71.875,"[6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31]"
1981,WP,1,38,38,38,0,0.0,[]
1983,IP,1,14,14,14,0,0.0,[]
1983,WP,1,28,28,28,0,0.0,[]
1985,IP,1,24,24,23,1,4.166666666666666,[13]
1985,WP,1,34,34,33,1,2.941176470588235,[33]
1987,IP,1,59,59,57,2,3.389830508474576,"[35, 56]"
1987,WP,1,37,37,37,0,0.0,[]
1989,BP,1,57,57,54,3,5.263157894736842,"[16, 32, 43]"
1989,IP,15,41,27,3,24,88.88888888888889,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
1989,WP,1,71,71,62,9,12.676056338028168,"[18, 22, 25, 27, 30, 43, 47, 56, 62]"
1991,IP,1,98,98,92,6,6.122448979591836,"[40, 41, 44, 50, 81, 88]"
1991,WP,1,57,57,55,2,3.508771929824561,"[7, 46]"
1992,IP,1,89,89,88,1,1.1235955056179776,[19]
1992,WP,1,34,34,34,0,0.0,[]
1994,IP,1,98,98,97,1,1.0204081632653061,[90]
1994,WP,1,37,37,37,0,0.0,[]
